Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Sea Point,2,1,,0,10.04324949,,Rental,36795433
Camps Bay,1,1,,1,9.903487553,66,Rental,36794568
Sea Point,3,1,,1,10.27505111,150,Rental,36767834
Observatory,1,1,3a Howe Street,2,9.472704636,65,Rental,30940627
Sea Point,0.5,1,1 Regent Road,0,9.61580548,24,Rental,36769505
Sea Point,2,2,,1,10.25765937,,Rental,36823142
Higgovale,3,3,,2,11.08214255,,Rental,36765312
De Waterkant,1,1,The Rose On 117 De Waterkant Cape Town,0,9.61580548,,Rental,36819237
Newlands,3,2,,2,10.54534144,496,Rental,36817045
Vredehoek,2,1,,0,9.998797732,100,Rental,28331144
Pinelands,2,1,,1,8.987196821,,Rental,36823766
Woodstock,1,1,,1,9.047821442,43,Rental,36777750
Sea Point,2,2,,2,9.952277717,,Rental,36819847
De Waterkant,2,2,,1,10.1064284,87,Rental,36756402
Cape Town City Centre,1,1,,0,8.779557456,,Rental,34948894
Sea Point,2,2,Erf927 High Level Rd,1,10.1266311,80,Rental,36587400
Green Point,1,1,137 Main Road,1,9.878169745,,Rental,34276260
Sea Point,2,2,,2,10.53209621,,Rental,36811103
Mouille Point,3,5,,2,11.91839057,541,Rental,36835274
Cape Town City Centre,2,2,6 Pepper Street,2,9.928180165,132,Rental,36628433
Constantia,2,3,,2,11.28978191,,Rental,36775969
Claremont,2,1,,1,10.18490001,168,Rental,36785786
Claremont Upper,2,2,,1,9.680344001,95,Rental,35075609
