Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Green Point,2.0,1.0,,1.0,10.1266311,,Rental,36335171
Observatory,1.0,1.0,2 Irwell Street,0.0,9.137769679,40.0,Rental,35452518
Green Point,2.0,1.0,,1.0,10.0647557,81.0,Rental,36731699
Sea Point,2.0,2.0,,2.0,9.903487553,,Rental,33804895
Claremont,2.0,1.5,"413 Lynwood Gardens, 21 Pintree Avenue",1.0,9.546812609,83.0,Rental,36634342
Vredehoek,2.5,1.0,,3.0,10.46310334,108.0,Rental,36807329
Sea Point,2.0,2.0,,1.0,10.81977828,131.0,Rental,33721088
Claremont,3.0,2.0,,1.0,10.08580911,,Rental,36661128
Sea Point,2.0,1.0,"2 Bellair, 2 Firmount Road",1.0,10.0647557,70.0,Rental,36366686
Green Point,1.0,1.0,,0.0,10.23995979,,Rental,35437275
Cape Town City Centre,1.0,1.0,220 Loop St,1.0,9.898475011,60.0,Rental,36818262
Gardens,2.0,1.0,,1.0,9.878169745,,Rental,36752458
Foreshore,1.0,1.0,,0.0,9.667765219,,Rental,36651494
Fresnaye,3.0,3.5,,2.0,11.28978191,,Rental,36818513
Camps Bay,1.0,1.0,15 Totnes Road,1.0,9.76995616,64.0,Rental,35132836
Camps Bay,4.0,3.0,,2.0,11.12726298,,Rental,35449453
Bo Kaap,2.0,2.5,,2.0,10.65725935,184.0,Rental,36576011
Sea Point,2.0,2.0,,1.0,10.1266311,101.0,Rental,36786914
Sea Point,1.0,1.0,,1.0,10.30895266,37.0,Rental,36584271
Sea Point,3.0,1.0,,1.0,10.27505111,150.0,Rental,36767834
Camps Bay,4.0,2.0,8 Woodhead Close Townhouse 4 Camps Bay,2.0,10.81977828,,Rental,36674463
Cape Town City Centre,1.0,1.0,,1.0,9.510444964,28.0,Rental,36393094
Green Point,1.0,1.0,,0.0,10.02127059,,Rental,36698740
Sea Point,2.0,1.0,,1.0,9.998797732,,Rental,36799692
Cape Town City Centre,2.0,2.0,THE Icon Cape Town,1.0,10.55841352,,Rental,36647649
Observatory,4.0,1.0,297 Lower Main Road,0.0,8.612503371,,Rental,34178960
Green Point,2.0,2.0,,0.0,10.08580911,186.0,Rental,36607384
Constantia,2.0,1.0,4 Welbeloond Road,2.0,10.59663473,,Rental,33172437
Cape Town City Centre,1.0,1.0,"1608 Pepperclub, 1 Corner Of Loop St and Pepper St",1.0,9.740968623,,Rental,33472174
Sea Point,2.0,2.0,,1.0,10.53209621,,Rental,36782131
Three Anchor Bay,0.5,1.0,207 Main Road,0.0,9.472704636,30.0,Rental,33978965
